# ../files/rip_table.txt
#
# SubnetAddr  	SubnetMask    	Iface  	NextHop     Metric 	Timeout
2.2.2.2         255.255.255.0   eth0    0.0.0.0		0		-1
0.0.0.0	        0.0.0.0	        eth0	0.0.0.0		0		-1
1.1.1.1         0.0.0.0			eth0	0.0.0.0		0       -1
3.3.3.3			0.0.0.0			eth0	0.0.0.0		0       -1
4.4.4.4			0.0.0.0			eth0	0.0.0.0		0       -1
5.5.5.5			0.0.0.0			eth0	0.0.0.0		0       -1
6.6.6.6			0.0.0.0			eth0	0.0.0.0		0       -1
7.7.7.7			0.0.0.0			eth0	0.0.0.0		0       -1
8.8.8.8			0.0.0.0			eth0	0.0.0.0		0       -1
9.9.9.9			0.0.0.0			eth0	0.0.0.0		0       -1
10.10.10.10		0.0.0.0			eth0	0.0.0.0		0       -1
